[VEP run statistics]
VEP version (API)	83 (83)
Cache/Database	/home/sdeveras/.vep/homo_sapiens/83_GRCh37
Species	homo_sapiens
Command line options	--cache -i /data/sdeveras/exac/exac_data_artfl/artfl_07_2018/Step1_Artfl_with_hist.vcf --force_overwrite -o ./Step2_Artfl_with_hist.vcf --stats_text --vcf --port 3337 --allele_number --everything --maf_exac --plugin LoF --plugin LoFtool --plugin ExAC,/data/sdeveras/misc/ExAC.r0.3.sites.vep.vcf.gz,AC,AN
Start time	2018-07-15 22:42:43
End time	2018-07-15 22:44:15
Run time	92 seconds
Input file (format)	/data/sdeveras/exac/exac_data_artfl/artfl_07_2018/Step1_Artfl_with_hist.vcf (VCF)
Output file	./Step2_Artfl_with_hist.vcf [text]

[General statistics]
Lines of input read	646
Variants processed	526
Variants remaining after filtering	526
Lines of output written	526
Novel / existing variants	125 (23.8%) / 401 (76.2%)
Overlapped genes	19
Overlapped transcripts	149
Overlapped regulatory features	29

[Variant classes]
substitution	4
sequence_alteration	14
insertion	22
deletion	41
SNV	445

[Consequences (most severe)]
splice_acceptor_variant	2
splice_donor_variant	5
stop_gained	6
frameshift_variant	7
start_lost	1
inframe_insertion	1
inframe_deletion	1
missense_variant	59
splice_region_variant	12
synonymous_variant	54
5_prime_UTR_variant	33
3_prime_UTR_variant	168
non_coding_transcript_exon_variant	36
intron_variant	93
upstream_gene_variant	45
downstream_gene_variant	3

[Consequences (all)]
splice_donor_variant	39
splice_acceptor_variant	10
stop_gained	25
frameshift_variant	40
start_lost	1
inframe_insertion	4
inframe_deletion	12
missense_variant	434
splice_region_variant	132
synonymous_variant	395
5_prime_UTR_variant	162
3_prime_UTR_variant	890
non_coding_transcript_exon_variant	207
intron_variant	1869
NMD_transcript_variant	270
non_coding_transcript_variant	462
upstream_gene_variant	804
downstream_gene_variant	3271
TF_binding_site_variant	6
regulatory_region_variant	176

[Coding consequences]
stop_gained	25
frameshift_variant	40
inframe_insertion	4
inframe_deletion	12
missense_variant	434
synonymous_variant	395

[SIFT summary]
tolerated - low confidence	15
deleterious - low confidence	34
tolerated	171
deleterious	214

[PolyPhen summary]
unknown	37
possibly damaging	84
probably damaging	114
benign	200

[Variants by chromosome]
1	67
14	83
16	112
17	202
21	62

[Distribution of variants on chromosome 1]
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	28
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	0
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	0
101	0
102	0
103	0
104	0
105	0
106	0
107	0
108	0
109	0
110	0
111	0
112	0
113	0
114	0
115	0
116	0
117	0
118	0
119	0
120	0
121	0
122	0
123	0
124	0
125	0
126	0
127	0
128	0
129	0
130	0
131	0
132	0
133	0
134	0
135	0
136	0
137	0
138	0
139	0
140	0
141	0
142	0
143	0
144	0
145	0
146	0
147	0
148	0
149	0
150	0
151	0
152	0
153	0
154	0
155	0
156	0
157	0
158	0
159	0
160	0
161	0
162	0
163	0
164	0
165	0
166	0
167	0
168	0
169	0
170	0
171	0
172	0
173	0
174	0
175	0
176	0
177	0
178	0
179	0
180	0
181	0
182	0
183	0
184	0
185	0
186	0
187	0
188	0
189	0
190	0
191	0
192	0
193	0
194	0
195	0
196	0
197	0
198	0
199	0
200	0
201	0
202	0
203	0
204	0
205	0
206	0
207	0
208	0
209	0
210	0
211	0
212	0
213	0
214	0
215	0
216	0
217	0
218	0
219	0
220	0
221	0
222	0
223	0
224	0
225	0
226	0
227	39
228	0
229	0
230	0
231	0
232	0
233	0
234	0
235	0
236	0
237	0
238	0
239	0
240	0
241	0
242	0
243	0
244	0
245	0
246	0
247	0
248	0
249	0

[Distribution of variants on chromosome 14]
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	83
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	0
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	0
101	0
102	0
103	0
104	0
105	0
106	0
107	0

[Distribution of variants on chromosome 16]
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	112
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	0
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	0

[Distribution of variants on chromosome 17]
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	61
43	8
44	133
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	0

[Distribution of variants on chromosome 21]
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	62
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0

[Position in protein]
00-10%	66
10-20%	76
20-30%	97
30-40%	109
40-50%	77
50-60%	91
60-70%	102
70-80%	111
80-90%	89
90-100%	93
